[2017-03-11 19:24:59] app.INFO: AddedGLL/Better [] {"uid":"f919c58"}
[2017-03-11 19:25:26] app.INFO: AddedGLL/Better [] {"uid":"34a2119"}
[2017-03-11 19:25:39] app.INFO: AddedGLL/Better [] {"uid":"cd7ed21"}
[2017-03-11 19:25:53] app.INFO: AddedGLL/Better [] {"uid":"30385d4"}
[2017-03-13 08:57:05] app.DEBUG: Added providerGLL/Better [] {"uid":"fe1d087"}
[2017-03-13 08:58:21] app.DEBUG: Added providerGLL/Better [] {"uid":"6d8a0a4"}
[2017-03-13 08:59:24] app.DEBUG: Added providerGLL/Better [] {"uid":"2905e9d"}
[2017-03-13 08:59:48] app.DEBUG: Added providerGLL/Better [] {"uid":"d960013"}
[2017-03-13 09:04:11] app.DEBUG: Added providerPowerleague [] {"uid":"c840375"}
[2017-03-13 09:05:58] app.DEBUG: Added providerPowerleague [] {"uid":"f2efa47"}
[2017-03-13 09:06:24] app.DEBUG: Added providerPowerleague [] {"uid":"3c90fda"}
[2017-03-13 09:21:06] app.DEBUG: Added providerGLL/Better [] {"uid":"00ed868"}
[2017-03-13 09:21:06] app.DEBUG: Added block2016-05-16T06:00:00+00:00-2016-05-16T23:00:00+00:00 [] {"uid":"00ed868"}
[2017-03-13 09:21:06] app.DEBUG: Added slotslot33936 [] {"uid":"00ed868"}
[2017-03-13 09:21:06] app.DEBUG: Added slotslot33935 [] {"uid":"00ed868"}
[2017-03-13 09:21:06] app.DEBUG: Added slotslot33934 [] {"uid":"00ed868"}
[2017-03-13 09:21:06] app.DEBUG: Added slotslot33933 [] {"uid":"00ed868"}
[2017-03-13 09:21:06] app.DEBUG: Added slotslot33932 [] {"uid":"00ed868"}
[2017-03-13 09:21:06] app.DEBUG: Added slotslot33931 [] {"uid":"00ed868"}
[2017-03-13 09:21:06] app.DEBUG: Added slotslot33930 [] {"uid":"00ed868"}
[2017-03-13 09:21:06] app.DEBUG: Added slotslot33929 [] {"uid":"00ed868"}
[2017-03-13 09:21:06] app.DEBUG: Added slotslot33928 [] {"uid":"00ed868"}
[2017-03-13 09:21:06] app.DEBUG: Added slotslot33927 [] {"uid":"00ed868"}
[2017-03-13 09:21:06] app.DEBUG: Added slotslot33926 [] {"uid":"00ed868"}
[2017-03-13 09:21:06] app.DEBUG: Added slotslot33925 [] {"uid":"00ed868"}
[2017-03-13 09:21:06] app.DEBUG: Added slotslot33924 [] {"uid":"00ed868"}
[2017-03-13 09:21:06] app.DEBUG: Added slotslot33923 [] {"uid":"00ed868"}
[2017-03-13 09:21:06] app.DEBUG: Added slotslot33922 [] {"uid":"00ed868"}
[2017-03-13 09:21:06] app.DEBUG: Added slotslot33921 [] {"uid":"00ed868"}
[2017-03-13 09:21:06] app.DEBUG: Added slotslot33920 [] {"uid":"00ed868"}
[2017-03-13 09:21:06] app.DEBUG: Added slotslot33919 [] {"uid":"00ed868"}
[2017-03-13 09:21:06] app.DEBUG: Added slotslot33918 [] {"uid":"00ed868"}
[2017-03-13 09:21:06] app.DEBUG: Added slotslot33917 [] {"uid":"00ed868"}
[2017-03-13 09:21:06] app.DEBUG: Added block2016-05-15T06:00:00+00:00-2016-05-15T23:00:00+00:00 [] {"uid":"00ed868"}
[2017-03-13 09:21:06] app.DEBUG: Added slotslot33916 [] {"uid":"00ed868"}
[2017-03-13 09:21:06] app.DEBUG: Added slotslot33915 [] {"uid":"00ed868"}
[2017-03-13 09:21:06] app.DEBUG: Added slotslot33914 [] {"uid":"00ed868"}
[2017-03-13 09:21:06] app.DEBUG: Added slotslot33913 [] {"uid":"00ed868"}
[2017-03-13 09:21:06] app.DEBUG: Added slotslot33912 [] {"uid":"00ed868"}
[2017-03-13 09:21:06] app.DEBUG: Added slotslot33911 [] {"uid":"00ed868"}
[2017-03-13 09:21:06] app.DEBUG: Added slotslot33910 [] {"uid":"00ed868"}
[2017-03-13 09:21:06] app.DEBUG: Added slotslot33909 [] {"uid":"00ed868"}
[2017-03-13 09:21:06] app.DEBUG: Added slotslot33908 [] {"uid":"00ed868"}
[2017-03-13 09:21:06] app.DEBUG: Added slotslot33907 [] {"uid":"00ed868"}
[2017-03-13 09:21:06] app.DEBUG: Added block2016-05-14T06:00:00+00:00-2016-05-14T23:00:00+00:00 [] {"uid":"00ed868"}
[2017-03-13 09:21:06] app.DEBUG: Added slotslot33906 [] {"uid":"00ed868"}
[2017-03-13 09:21:06] app.DEBUG: Added slotslot33905 [] {"uid":"00ed868"}
[2017-03-13 09:21:06] app.DEBUG: Added slotslot33904 [] {"uid":"00ed868"}
[2017-03-13 09:21:06] app.DEBUG: Added slotslot33903 [] {"uid":"00ed868"}
[2017-03-13 09:21:06] app.DEBUG: Added slotslot33902 [] {"uid":"00ed868"}
[2017-03-13 09:21:06] app.DEBUG: Added slotslot33901 [] {"uid":"00ed868"}
[2017-03-13 09:21:06] app.DEBUG: Added slotslot33900 [] {"uid":"00ed868"}
[2017-03-13 09:21:06] app.DEBUG: Added slotslot33899 [] {"uid":"00ed868"}
[2017-03-13 09:21:06] app.DEBUG: Added slotslot33898 [] {"uid":"00ed868"}
[2017-03-13 09:21:06] app.DEBUG: Added slotslot33896 [] {"uid":"00ed868"}
[2017-03-13 09:21:06] app.DEBUG: Added slotslot33895 [] {"uid":"00ed868"}
[2017-03-13 09:21:06] app.DEBUG: Added block2016-05-13T06:00:00+00:00-2016-05-13T23:00:00+00:00 [] {"uid":"00ed868"}
[2017-03-13 09:21:06] app.DEBUG: Added slotslot33892 [] {"uid":"00ed868"}
[2017-03-13 09:21:06] app.DEBUG: Added slotslot33891 [] {"uid":"00ed868"}
[2017-03-13 09:21:06] app.DEBUG: Added slotslot33890 [] {"uid":"00ed868"}
[2017-03-13 09:21:06] app.DEBUG: Added slotslot33889 [] {"uid":"00ed868"}
[2017-03-13 09:21:06] app.DEBUG: Added slotslot33888 [] {"uid":"00ed868"}
[2017-03-13 09:21:06] app.DEBUG: Added slotslot33887 [] {"uid":"00ed868"}
[2017-03-13 09:21:06] app.DEBUG: Added slotslot33886 [] {"uid":"00ed868"}
[2017-03-13 09:21:06] app.DEBUG: Added slotslot33885 [] {"uid":"00ed868"}
[2017-03-13 09:21:06] app.DEBUG: Added slotslot33884 [] {"uid":"00ed868"}
[2017-03-13 09:21:06] app.DEBUG: Added slotslot33883 [] {"uid":"00ed868"}
[2017-03-13 09:21:06] app.DEBUG: Added slotslot33882 [] {"uid":"00ed868"}
[2017-03-13 09:21:06] app.DEBUG: Added slotslot33881 [] {"uid":"00ed868"}
[2017-03-13 09:21:06] app.DEBUG: Added slotslot33880 [] {"uid":"00ed868"}
[2017-03-13 09:21:06] app.DEBUG: Added slotslot33879 [] {"uid":"00ed868"}
[2017-03-13 09:21:06] app.DEBUG: Added slotslot33878 [] {"uid":"00ed868"}
